,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
1,2021,03,17,01:00,27°C,31°C,140°6 Km/h,N/A,89%,25°C,1010.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
2,2021,03,17,02:00,27°C,31°C,Variable at 4 Km/h,N/A,89%,25°C,1010.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
3,2021,03,17,03:00,27°C,31°C,130°6 Km/h,N/A,89%,25°C,1010.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
4,2021,03,17,04:00,27°C,31°C,Variable at 4 Km/h,N/A,89%,25°C,1009.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
5,2021,03,17,05:00,27°C,31°C,Variable at 4 Km/h,N/A,89%,25°C,1009.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
6,2021,03,17,06:00,27°C,30°C,Variable at 2 Km/h,N/A,84%,24°C,1010.0mb, Few Clouds at 700m  
7,2021,03,17,07:00,27°C,31°C,Calm,N/A,89%,25°C,1011.0mb, Few Clouds at 700m  
8,2021,03,17,08:00,29°C,35°C,110°6 Km/h,N/A,79%,25°C,1011.0mb, Few Clouds at 700m  
9,2021,03,17,09:00,30°C,35°C,110°11 Km/h,N/A,70%,24°C,1011.0mb, Few Clouds at 700m  
10,2021,03,17,10:00,31°C,37°C,Variable at 7 Km/h,N/A,66%,24°C,1011.0mb, Few Clouds at 700m  
11,2021,03,17,11:00,32°C,38°C,Variable at 9 Km/h,N/A,63%,24°C,1011.0mb, Few Clouds at 760m  
12,2021,03,17,12:00,33°C,38°C,Variable at 7 Km/h,N/A,56%,23°C,1010.0mb, Few Clouds at 760m  
13,2021,03,17,13:00,34°C,38°C,Variable at 7 Km/h,N/A,49%,22°C,1009.0mb, Few Clouds at 760m  
14,2021,03,17,14:00,35°C,39°C,Variable at 6 Km/h,N/A,47%,22°C,1008.0mb, Few Clouds at 760m  
15,2021,03,17,15:00,32°C,37°C,280°17 Km/h,N/A,59%,23°C,1008.0mb," Few Cumulonimbus Clouds at 700m, Scattered Clouds at 760m  "
16,2021,03,17,16:00,32°C,39°C,260°20 Km/h,N/A,67%,25°C,1008.0mb, Few Clouds at 760m  
17,2021,03,17,17:00,31°C,38°C,270°17 Km/h,N/A,70%,25°C,1008.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
18,2021,03,17,18:00,31°C,37°C,190°7 Km/h,N/A,66%,24°C,1009.0mb, Few Clouds at 760m  
19,2021,03,17,19:00,29°C,35°C,260°9 Km/h,N/A,79%,25°C,1009.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
20,2021,03,17,20:00,29°C,34°C,240°6 Km/h,N/A,74%,24°C,1010.0mb, Few Cumulonimbus Clouds at 700m  
21,2021,03,17,21:00,29°C,34°C,220°6 Km/h,N/A,74%,24°C,1011.0mb, Few Clouds at 760m  
22,2021,03,17,22:00,29°C,34°C,180°6 Km/h,N/A,74%,24°C,1011.0mb," Few Cumulonimbus Clouds at 700m, Scattered Clouds at 3000m  "
23,2021,03,17,23:00,29°C,34°C,Variable at 6 Km/h,N/A,74%,24°C,1011.0mb," Few Cumulonimbus Clouds at 700m, Scattered Clouds at 3000m  Occasional "
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,03,18,00:00,29°C,34°C,Variable at 4 Km/h,N/A,74%,24°C,1011.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
1,2021,03,18,01:00,28°C,33°C,Variable at 4 Km/h,N/A,84%,25°C,1010.0mb, Few Clouds at 760m  
2,2021,03,18,02:00,28°C,33°C,Calm,N/A,84%,25°C,1009.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
3,2021,03,18,03:00,28°C,33°C,Variable at 2 Km/h,N/A,84%,25°C,1009.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
4,2021,03,18,04:00,28°C,33°C,260°4 Km/h,N/A,84%,25°C,1009.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
5,2021,03,18,05:00,28°C,33°C,290°6 Km/h,N/A,84%,25°C,1009.0mb, Few Clouds at 700m  
6,2021,03,18,06:00,28°C,33°C,Variable at 4 Km/h,N/A,84%,25°C,1010.0mb," Scattered Clouds at 700m, Cloudy at 2700m Shower In the vicinity "
7,2021,03,18,07:00,28°C,33°C,Variable at 4 Km/h,N/A,84%,25°C,1010.0mb," Few Clouds at 700m, Broken Clouds at 9100m  "
8,2021,03,18,08:00,29°C,35°C,170°7 Km/h,N/A,79%,25°C,1011.0mb," Scattered Clouds at 700m, Broken Clouds at 9100m  "
9,2021,03,18,09:00,31°C,38°C,Variable at 6 Km/h,N/A,70%,25°C,1011.0mb," Scattered Clouds at 700m, Broken Clouds at 9100m  "
10,2021,03,18,10:00,32°C,38°C,Variable at 6 Km/h,N/A,63%,24°C,1011.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
11,2021,03,18,11:00,32°C,38°C,Variable at 13 Km/h,N/A,63%,24°C,1010.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
12,2021,03,18,12:00,34°C,41°C,120°11 Km/h,N/A,56%,24°C,1009.0mb, Scattered Clouds at 9100m  
13,2021,03,18,13:00,34°C,41°C,150°13 Km/h,N/A,56%,24°C,1009.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
14,2021,03,18,13:40,32°C,39°C,220°22 Km/h,N/A,67%,25°C,1008.0mb," Few Cumulonimbus Clouds at 550m, Scattered Clouds at 610m Thunderstorm "
15,2021,03,18,14:00,35°C,42°C,Variable at 13 Km/h,N/A,53%,24°C,1009.0mb," Few Cumulonimbus Clouds at 700m, Scattered Clouds at 9100m  "
16,2021,03,18,15:00,34°C,41°C,140°15 Km/h,N/A,56%,24°C,1007.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
17,2021,03,18,16:00,34°C,41°C,Variable at 11 Km/h,N/A,56%,24°C,1007.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
18,2021,03,18,17:00,33°C,39°C,130°15 Km/h,N/A,59%,24°C,1007.0mb," Few Cumulonimbus Clouds at 700m, Few Clouds at 760m, Scattered Clouds at 3000m  "
19,2021,03,18,18:00,31°C,37°C,Variable at 15 Km/h,N/A,66%,24°C,1007.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
20,2021,03,18,19:00,30°C,36°C,140°11 Km/h,N/A,75%,25°C,1008.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
21,2021,03,18,20:00,30°C,35°C,120°13 Km/h,N/A,70%,24°C,1009.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
22,2021,03,18,21:00,30°C,36°C,Variable at 11 Km/h,N/A,75%,25°C,1009.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
23,2021,03,18,22:00,29°C,34°C,120°11 Km/h,N/A,74%,24°C,1009.0mb, Scattered Clouds at 3000m  
24,2021,03,18,23:00,29°C,34°C,Variable at 11 Km/h,N/A,74%,24°C,1009.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,03,19,00:00,29°C,34°C,120°11 Km/h,N/A,74%,24°C,1009.0mb, Few Clouds at 760m  
1,2021,03,19,01:00,28°C,32°C,130°6 Km/h,N/A,79%,24°C,1009.0mb, Few Clouds at 760m  
2,2021,03,19,02:00,28°C,31°C,120°9 Km/h,N/A,74%,23°C,1008.0mb, Few Clouds at 760m  
3,2021,03,19,03:00,28°C,31°C,120°7 Km/h,N/A,74%,23°C,1008.0mb, Few Clouds at 760m  
4,2021,03,19,04:00,28°C,32°C,90°6 Km/h,N/A,79%,24°C,1008.0mb, Few Clouds at 760m  
5,2021,03,19,05:00,26°C,28°C,70°7 Km/h,N/A,84%,23°C,1009.0mb, Few Clouds at 760m  
6,2021,03,19,06:00,27°C,30°C,Variable at 2 Km/h,N/A,79%,23°C,1009.0mb, Few Clouds at 760m  
7,2021,03,19,07:00,28°C,32°C,Variable at 2 Km/h,N/A,79%,24°C,1010.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
8,2021,03,19,08:00,30°C,34°C,Variable at 4 Km/h,N/A,66%,23°C,1010.0mb, Few Clouds at 760m  
9,2021,03,19,09:00,31°C,35°C,Variable at 7 Km/h,N/A,62%,23°C,1011.0mb, Few Clouds at 760m  
10,2021,03,19,10:00,32°C,37°C,100°9 Km/h,N/A,59%,23°C,1010.0mb," Scattered Clouds at 760m, Scattered Clouds at 3000m  "
11,2021,03,19,11:00,33°C,39°C,Variable at 7 Km/h,N/A,59%,24°C,1010.0mb, Few Clouds at 760m  
12,2021,03,19,12:00,31°C,38°C,310°15 Km/h,N/A,70%,25°C,1009.0mb, Scattered Clouds at 760m  
13,2021,03,19,13:00,32°C,38°C,350°13 Km/h,N/A,63%,24°C,1008.0mb," Scattered Cumulonimbus Clouds at 700m, Broken Clouds at 2700m  "
14,2021,03,19,14:00,31°C,38°C,60°20 Km/h,N/A,70%,25°C,1007.0mb," Few Cumulonimbus Clouds at 700m, Scattered Clouds at 760m, Scattered Clouds at 3000m  "
15,2021,03,19,15:00,33°C,41°C,70°15 Km/h,N/A,63%,25°C,1006.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
16,2021,03,19,16:00,32°C,38°C,90°11 Km/h,N/A,63%,24°C,1007.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
17,2021,03,19,17:00,32°C,38°C,90°13 Km/h,N/A,63%,24°C,1007.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
18,2021,03,19,18:00,31°C,35°C,90°11 Km/h,N/A,62%,23°C,1008.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
19,2021,03,19,20:00,29°C,34°C,130°11 Km/h,N/A,74%,24°C,1008.0mb, Few Clouds at 760m  
20,2021,03,19,21:00,29°C,34°C,120°11 Km/h,N/A,74%,24°C,1009.0mb, Few Clouds at 760m  
21,2021,03,19,22:00,29°C,34°C,140°7 Km/h,N/A,74%,24°C,1009.0mb," Few Cumulonimbus Clouds at 700m, Few Clouds at 760m, Broken Clouds at 3000m  "
22,2021,03,19,23:00,28°C,32°C,Variable at 7 Km/h,N/A,79%,24°C,1009.0mb, Few Clouds at 760m  
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,03,20,00:00,28°C,32°C,120°7 Km/h,N/A,79%,24°C,1009.0mb, Few Clouds at 760m  
1,2021,03,20,01:00,28°C,31°C,110°7 Km/h,N/A,74%,23°C,1008.0mb, Few Clouds at 760m  
2,2021,03,20,02:00,28°C,32°C,90°6 Km/h,N/A,79%,24°C,1008.0mb, Few Clouds at 760m  
3,2021,03,20,03:00,27°C,30°C,110°6 Km/h,N/A,79%,23°C,1007.0mb, Few Clouds at 760m  
4,2021,03,20,04:00,27°C,30°C,Variable at 4 Km/h,N/A,79%,23°C,1007.0mb, Few Clouds at 760m  
5,2021,03,20,05:00,27°C,30°C,Variable at 2 Km/h,N/A,79%,23°C,1007.0mb, Few Clouds at 760m  
6,2021,03,20,06:00,27°C,30°C,Variable at 2 Km/h,N/A,79%,23°C,1008.0mb, Few Clouds at 760m  
7,2021,03,20,07:00,28°C,32°C,Variable at 4 Km/h,N/A,79%,24°C,1009.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
8,2021,03,20,08:00,30°C,35°C,150°6 Km/h,N/A,70%,24°C,1009.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
9,2021,03,20,09:00,31°C,37°C,160°9 Km/h,N/A,66%,24°C,1010.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
10,2021,03,20,10:00,32°C,38°C,Variable at 9 Km/h,N/A,63%,24°C,1010.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
11,2021,03,20,11:00,32°C,38°C,Variable at 7 Km/h,N/A,63%,24°C,1009.0mb," Few Cumulonimbus Clouds at 700m, Scattered Clouds at 760m, Broken Clouds at 3000m  "
12,2021,03,20,12:00,33°C,31°C,Variable at 9 Km/h,N/A,14%,2°C,1008.0mb," Few Cumulonimbus Clouds at 700m, Scattered Clouds at 760m, Broken Clouds at 3000m  "
13,2021,03,20,13:00,33°C,39°C,150°9 Km/h,N/A,59%,24°C,1007.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
14,2021,03,20,14:00,34°C,41°C,80°9 Km/h,N/A,56%,24°C,1006.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
15,2021,03,20,15:00,35°C,41°C,Variable at 11 Km/h,N/A,50%,23°C,1005.0mb, Scattered Clouds at 760m  
16,2021,03,20,16:00,34°C,41°C,Variable at 11 Km/h,N/A,56%,24°C,1006.0mb," Few Cumulonimbus Clouds at 700m, Few Clouds at 760m  "
17,2021,03,20,17:00,32°C,38°C,Variable at 15 Km/h,N/A,63%,24°C,1006.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
18,2021,03,20,18:00,30°C,35°C,50°15 Km/h,N/A,70%,24°C,1006.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
19,2021,03,20,19:00,30°C,34°C,100°13 Km/h,N/A,66%,23°C,1007.0mb, Scattered Clouds at 760m  
20,2021,03,20,20:00,30°C,34°C,120°11 Km/h,N/A,66%,23°C,1008.0mb, Few Clouds at 760m  
21,2021,03,20,21:00,29°C,34°C,130°11 Km/h,N/A,74%,24°C,1008.0mb, Few Clouds at 760m  
22,2021,03,20,22:00,29°C,34°C,120°11 Km/h,N/A,74%,24°C,1008.0mb, Few Clouds at 760m  
23,2021,03,20,23:00,29°C,33°C,120°15 Km/h,N/A,70%,23°C,1008.0mb, Few Clouds at 760m  
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,03,21,00:00,28°C,31°C,120°11 Km/h,N/A,74%,23°C,1008.0mb, Few Clouds at 760m  
1,2021,03,21,01:00,28°C,31°C,110°11 Km/h,N/A,74%,23°C,1007.0mb, Few Clouds at 760m  
2,2021,03,21,02:00,28°C,31°C,120°9 Km/h,N/A,74%,23°C,1007.0mb, Few Clouds at 760m  
3,2021,03,21,03:00,28°C,31°C,110°7 Km/h,N/A,74%,23°C,1007.0mb, Few Clouds at 760m  
4,2021,03,21,04:00,27°C,30°C,Variable at 4 Km/h,N/A,79%,23°C,1007.0mb, Few Clouds at 760m  
5,2021,03,21,05:00,27°C,29°C,80°7 Km/h,N/A,74%,22°C,1007.0mb, Few Clouds at 760m  
6,2021,03,21,06:00,27°C,30°C,100°4 Km/h,N/A,79%,23°C,1008.0mb, Few Clouds at 760m  
7,2021,03,21,07:00,28°C,32°C,Variable at 2 Km/h,N/A,79%,24°C,1009.0mb, Few Clouds at 700m  
8,2021,03,21,08:00,30°C,34°C,Variable at 6 Km/h,N/A,66%,23°C,1010.0mb, Few Clouds at 700m  
9,2021,03,21,09:00,31°C,37°C,120°11 Km/h,N/A,66%,24°C,1010.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
10,2021,03,21,10:00,32°C,38°C,Variable at 9 Km/h,N/A,63%,24°C,1010.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
11,2021,03,21,11:00,33°C,39°C,Variable at 9 Km/h,N/A,59%,24°C,1010.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
12,2021,03,21,12:00,33°C,39°C,Variable at 13 Km/h,N/A,59%,24°C,1010.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
13,2021,03,21,13:00,33°C,38°C,130°13 Km/h,N/A,56%,23°C,1009.0mb," Few Cumulonimbus Clouds at 700m, Scattered Clouds at 760m  "
14,2021,03,21,14:00,33°C,38°C,100°19 Km/h,N/A,56%,23°C,1008.0mb, Scattered Clouds at 700m  
15,2021,03,21,14:43,31°C,38°C,40°26 Km/h,N/A,70%,25°C,1008.0mb," Few Cumulonimbus Clouds at 700m, Few Clouds at 760m, Broken Clouds at 3000m Light Rain Shower "
16,2021,03,21,15:00,30°C,36°C,40°20 Km/h,N/A,75%,25°C,1008.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
17,2021,03,21,16:00,31°C,37°C,40°13 Km/h,N/A,66%,24°C,1007.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
18,2021,03,21,17:00,32°C,37°C,70°17 Km/h,N/A,59%,23°C,1008.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
19,2021,03,21,18:00,31°C,35°C,90°11 Km/h,N/A,62%,23°C,1008.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
20,2021,03,21,19:00,30°C,34°C,80°11 Km/h,N/A,66%,23°C,1009.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
21,2021,03,21,20:00,30°C,34°C,120°9 Km/h,N/A,66%,23°C,1009.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
22,2021,03,21,21:00,29°C,33°C,120°11 Km/h,N/A,70%,23°C,1010.0mb, Few Clouds at 760m  
23,2021,03,21,22:00,29°C,34°C,110°11 Km/h,N/A,74%,24°C,1010.0mb, Few Clouds at 760m  
24,2021,03,21,23:00,29°C,31°C,100°9 Km/h,N/A,62%,21°C,1010.0mb, Few Clouds at 760m  
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,03,22,00:00,29°C,34°C,100°9 Km/h,N/A,74%,24°C,1010.0mb, Few Clouds at 760m  
1,2021,03,22,01:00,28°C,32°C,100°7 Km/h,N/A,79%,24°C,1010.0mb, Scattered Clouds at 760m  
2,2021,03,22,02:00,28°C,31°C,40°9 Km/h,N/A,74%,23°C,1013.0mb, Scattered Clouds at 760m  
3,2021,03,22,03:00,28°C,31°C,Variable at 4 Km/h,N/A,74%,23°C,1011.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
4,2021,03,22,04:00,27°C,31°C,Variable at 6 Km/h,N/A,89%,25°C,1011.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
5,2021,03,22,05:00,26°C,28°C,Variable at 4 Km/h,N/A,89%,24°C,1011.0mb, Scattered Clouds at 700m  
6,2021,03,22,06:00,27°C,30°C,60°4 Km/h,N/A,84%,24°C,1011.0mb, Scattered Clouds at 700m  
7,2021,03,22,07:00,28°C,32°C,Variable at 4 Km/h,N/A,79%,24°C,1012.0mb, Scattered Clouds at 700m  
8,2021,03,22,08:00,30°C,35°C,Variable at 4 Km/h,N/A,70%,24°C,1013.0mb, Scattered Clouds at 700m  
9,2021,03,22,09:00,31°C,35°C,60°9 Km/h,N/A,62%,23°C,1013.0mb, Scattered Clouds at 700m  
10,2021,03,22,10:00,32°C,38°C,40°13 Km/h,N/A,63%,24°C,1013.0mb, Scattered Clouds at 700m  
11,2021,03,22,11:00,32°C,38°C,Variable at 7 Km/h,N/A,63%,24°C,1012.0mb, Scattered Clouds at 760m  
12,2021,03,22,12:00,34°C,41°C,Variable at 13 Km/h,N/A,56%,24°C,1012.0mb, Scattered Clouds at 760m  
13,2021,03,22,13:00,34°C,41°C,130°20 Km/h,N/A,56%,24°C,1011.0mb, Scattered Clouds at 760m  
14,2021,03,22,14:00,33°C,39°C,110°17 Km/h,N/A,59%,24°C,1010.0mb," Few Cumulonimbus Clouds at 700m, Scattered Clouds at 760m, Broken Clouds at 3000m  "
15,2021,03,22,15:00,32°C,38°C,110°15 Km/h,N/A,63%,24°C,1010.0mb," Scattered Clouds at 700m, Broken Clouds at 2700m  "
16,2021,03,22,15:44,31°C,35°C,90°22 Km/h,N/A,62%,23°C,1011.0mb," Few Cumulonimbus Clouds at 700m, Scattered Clouds at 760m, Broken Clouds at 2400m Light Rain Shower "
17,2021,03,22,16:00,30°C,34°C,100°19 Km/h,N/A,66%,23°C,1010.0mb," Scattered Clouds at 700m, Broken Clouds at 2400m  "
18,2021,03,22,17:00,30°C,33°C,100°13 Km/h,N/A,62%,22°C,1010.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
19,2021,03,22,18:00,29°C,32°C,120°13 Km/h,N/A,66%,22°C,1011.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
20,2021,03,22,19:00,29°C,32°C,110°13 Km/h,N/A,66%,22°C,1011.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
21,2021,03,22,20:00,29°C,32°C,110°15 Km/h,N/A,66%,22°C,1012.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
22,2021,03,22,21:00,29°C,31°C,100°11 Km/h,N/A,62%,21°C,1013.0mb, Broken Clouds at 3000m  
23,2021,03,22,22:00,29°C,31°C,90°11 Km/h,N/A,62%,21°C,1014.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
24,2021,03,22,23:00,29°C,31°C,110°11 Km/h,N/A,62%,21°C,1014.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,03,23,00:00,28°C,30°C,80°7 Km/h,N/A,62%,20°C,1014.0mb, Scattered Clouds at 760m  
1,2021,03,23,01:00,28°C,30°C,110°7 Km/h,N/A,66%,21°C,1013.0mb, Scattered Clouds at 760m  
2,2021,03,23,02:00,28°C,30°C,90°9 Km/h,N/A,66%,21°C,1012.0mb, Scattered Clouds at 760m  
3,2021,03,23,03:00,27°C,29°C,Variable at 4 Km/h,N/A,70%,21°C,1012.0mb, Scattered Clouds at 760m  
4,2021,03,23,04:00,28°C,30°C,110°6 Km/h,N/A,66%,21°C,1012.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
5,2021,03,23,05:00,28°C,30°C,100°6 Km/h,N/A,66%,21°C,1012.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
6,2021,03,23,06:00,27°C,29°C,70°6 Km/h,N/A,70%,21°C,1012.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
7,2021,03,23,07:00,28°C,30°C,110°7 Km/h,N/A,62%,20°C,1013.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
8,2021,03,23,08:00,29°C,31°C,110°9 Km/h,N/A,62%,21°C,1014.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
9,2021,03,23,09:00,31°C,34°C,100°11 Km/h,N/A,55%,21°C,1014.0mb," Scattered Clouds at 700m, Scattered Clouds at 3000m  "
10,2021,03,23,10:00,30°C,33°C,70°24 Km/h,N/A,59%,21°C,1014.0mb," Scattered Clouds at 700m, Broken Clouds at 9100m  "
11,2021,03,23,11:00,30°C,33°C,80°15 Km/h,N/A,59%,21°C,1013.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
12,2021,03,23,12:00,33°C,37°C,80°22 Km/h,N/A,52%,22°C,1013.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
13,2021,03,23,13:00,32°C,35°C,100°19 Km/h,N/A,52%,21°C,1012.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
14,2021,03,23,14:00,33°C,36°C,100°20 Km/h,N/A,49%,21°C,1011.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
15,2021,03,23,15:00,32°C,35°C,90°15 Km/h,N/A,52%,21°C,1010.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
16,2021,03,23,16:00,31°C,34°C,80°19 Km/h,N/A,55%,21°C,1010.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
17,2021,03,23,17:00,30°C,33°C,110°15 Km/h,N/A,62%,22°C,1011.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
18,2021,03,23,18:00,30°C,33°C,110°11 Km/h,N/A,59%,21°C,1011.0mb, Few Clouds at 700m  
19,2021,03,23,19:00,29°C,31°C,80°13 Km/h,N/A,62%,21°C,1011.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
20,2021,03,23,20:00,28°C,31°C,90°11 Km/h,N/A,70%,22°C,1012.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
21,2021,03,23,21:00,28°C,31°C,100°13 Km/h,N/A,70%,22°C,1013.0mb, Few Clouds at 700m  
22,2021,03,23,22:00,28°C,31°C,110°13 Km/h,N/A,70%,22°C,1013.0mb, Few Clouds at 700m  
23,2021,03,23,23:00,28°C,31°C,100°11 Km/h,N/A,70%,22°C,1013.0mb, Few Clouds at 760m  
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,03,24,00:00,27°C,29°C,90°7 Km/h,N/A,74%,22°C,1013.0mb, Few Clouds at 760m  
1,2021,03,24,01:00,28°C,31°C,100°11 Km/h,N/A,74%,23°C,1012.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
2,2021,03,24,02:00,27°C,30°C,100°7 Km/h,N/A,79%,23°C,1012.0mb, Few Clouds at 700m  
3,2021,03,24,03:00,27°C,29°C,80°9 Km/h,N/A,74%,22°C,1011.0mb, Few Clouds at 760m  
4,2021,03,24,04:00,26°C,27°C,70°7 Km/h,N/A,74%,21°C,1011.0mb, Few Clouds at 820m  
5,2021,03,24,05:00,26°C,28°C,70°7 Km/h,N/A,79%,22°C,1011.0mb, Few Clouds at 760m  
6,2021,03,24,06:00,26°C,27°C,60°9 Km/h,N/A,74%,21°C,1012.0mb," Few Clouds at 700m, Broken Clouds at 2100m  "
7,2021,03,24,07:00,27°C,29°C,80°4 Km/h,N/A,70%,21°C,1012.0mb," Few Clouds at 760m, Broken Clouds at 2100m  "
8,2021,03,24,08:00,28°C,30°C,60°7 Km/h,N/A,66%,21°C,1013.0mb," Few Clouds at 760m, Broken Clouds at 2700m  "
9,2021,03,24,09:00,29°C,31°C,80°7 Km/h,N/A,62%,21°C,1013.0mb," Few Clouds at 760m, Broken Clouds at 2100m  "
10,2021,03,24,10:00,31°C,35°C,100°7 Km/h,N/A,59%,22°C,1013.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
11,2021,03,24,11:00,31°C,37°C,130°15 Km/h,N/A,66%,24°C,1013.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
12,2021,03,24,12:00,31°C,37°C,110°15 Km/h,N/A,66%,24°C,1011.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
13,2021,03,24,13:00,33°C,38°C,100°15 Km/h,N/A,56%,23°C,1010.0mb, Scattered Clouds at 700m  
14,2021,03,24,14:00,33°C,38°C,110°22 Km/h,N/A,56%,23°C,1009.0mb, Few Clouds at 760m  
15,2021,03,24,15:00,30°C,34°C,110°20 Km/h,N/A,66%,23°C,1009.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
16,2021,03,24,16:00,31°C,37°C,100°17 Km/h,N/A,66%,24°C,1009.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
17,2021,03,24,17:00,31°C,37°C,120°15 Km/h,N/A,66%,24°C,1009.0mb, Few Clouds at 760m  
18,2021,03,24,18:00,30°C,34°C,120°13 Km/h,N/A,66%,23°C,1010.0mb, Few Clouds at 760m  
19,2021,03,24,19:00,29°C,33°C,110°9 Km/h,N/A,70%,23°C,1010.0mb, Few Clouds at 760m  
20,2021,03,24,20:00,29°C,34°C,130°11 Km/h,N/A,74%,24°C,1011.0mb, Few Clouds at 760m  
21,2021,03,24,21:00,28°C,31°C,110°11 Km/h,N/A,74%,23°C,1012.0mb, Few Clouds at 760m  
22,2021,03,24,22:00,28°C,31°C,110°13 Km/h,N/A,74%,23°C,1012.0mb, Few Clouds at 760m  
