"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"98558099999","2021-01-01","11.035544","125.741594","2.13","GUIUAN, RP","  80.5"," 8","  76.8"," 8","1010.8"," 8","004.0"," 8"," 10.7"," 8"," 12.6"," 8"," 15.5","999.9","  88.3"," ","  75.2"," "," 1.09","G","999.9","010000"
"98558099999","2021-01-02","11.035544","125.741594","2.13","GUIUAN, RP","  78.7"," 8","  76.8"," 8","1010.5"," 8","003.6"," 8","  9.3"," 8"," 17.5"," 8"," 27.2","999.9","  85.1"," ","  73.9"," "," 0.53","G","999.9","010000"
"98558099999","2021-01-03","11.035544","125.741594","2.13","GUIUAN, RP","  80.3"," 8","  77.0"," 8","1011.8"," 8","004.9"," 8","  9.9"," 8"," 14.8"," 8"," 17.5","999.9","  86.2"," ","  73.0"," "," 0.39","G","999.9","010000"
"98558099999","2021-01-04","11.035544","125.741594","2.13","GUIUAN, RP","  80.6"," 8","  77.0"," 8","1011.2"," 8","004.4"," 8","  8.9"," 8"," 15.5"," 8"," 17.5","999.9","  82.4","*","  73.4"," "," 1.22","G","999.9","010000"
"98558099999","2021-01-05","11.035544","125.741594","2.13","GUIUAN, RP","  80.7"," 8","  77.0"," 8","1010.6"," 8","003.8"," 8"," 10.6"," 8"," 14.1"," 8"," 15.5","999.9","  87.8"," ","  73.4"," "," 0.22","G","999.9","000000"
"98558099999","2021-01-06","11.035544","125.741594","2.13","GUIUAN, RP","  81.5"," 8","  77.7"," 8","1009.4"," 8","002.6"," 8"," 10.4"," 8"," 15.8"," 8"," 23.3","999.9","  87.8"," ","  73.4"," "," 0.11","G","999.9","010000"
"98558099999","2021-01-07","11.035544","125.741594","2.13","GUIUAN, RP","  77.8"," 7","  76.1"," 7","1008.2"," 7","001.4"," 7","  9.1"," 7"," 12.2"," 7"," 19.4","999.9","  85.6"," ","  74.1"," "," 0.11","G","999.9","010000"
"98558099999","2021-01-08","11.035544","125.741594","2.13","GUIUAN, RP","  76.9"," 8","  75.9"," 7","1008.5"," 8","001.6"," 8","  9.8"," 8"," 10.2"," 8"," 13.6","999.9","  83.8"," ","  60.8","*"," 2.09","G","999.9","010000"
"98558099999","2021-01-09","11.035544","125.741594","2.13","GUIUAN, RP","  79.7"," 8","  77.0"," 8","1009.4"," 8","002.6"," 8"," 10.4"," 8","  7.5"," 8","  9.7","999.9","  87.8"," ","  71.6"," "," 3.26","G","999.9","010000"
"98558099999","2021-01-10","11.035544","125.741594","2.13","GUIUAN, RP","  77.6"," 8","  76.3"," 8","1009.7"," 8","002.8"," 8","  7.1"," 8"," 17.0"," 8"," 27.2","999.9","  86.0"," ","  70.7"," "," 1.19","G","999.9","010000"
"98558099999","2021-01-11","11.035544","125.741594","2.13","GUIUAN, RP","  78.1"," 8","  76.3"," 8","1009.6"," 8","002.8"," 8","  7.9"," 8"," 14.1"," 8"," 23.3","999.9","  84.2"," ","  72.0"," "," 1.81","G","999.9","010000"
"98558099999","2021-01-12","11.035544","125.741594","2.13","GUIUAN, RP","  77.5"," 8","  75.7"," 8","1009.5"," 8","002.7"," 8","  7.9"," 8"," 13.4"," 8"," 19.4","999.9","  82.4"," ","  72.1"," "," 3.66","G","999.9","010000"
"98558099999","2021-01-13","11.035544","125.741594","2.13","GUIUAN, RP","  78.2"," 8","  76.7"," 8","1008.9"," 8","002.0"," 8","  8.5"," 8"," 10.0"," 7"," 15.5","999.9","  82.4"," ","  73.0"," "," 1.16","G","999.9","010000"
